fpath,label-0,label-1
113.nii.npy,0.8891233,0.110876694
151.nii.npy,0.89459336,0.10540664
280.nii.npy,0.92725325,0.0727468
011.nii.npy,0.96299875,0.037001207
142.nii.npy,0.8963883,0.10361167
410.nii.npy,0.9327704,0.06722966
318.nii.npy,0.9682362,0.031763755
221.nii.npy,0.59486866,0.4051314
370.nii.npy,0.95312387,0.046876136
356.nii.npy,0.70323247,0.29676756
348.nii.npy,0.81890684,0.18109316
283.nii.npy,0.7239773,0.27602267
359.nii.npy,0.9178992,0.0821008
048.nii.npy,0.9695793,0.030420747
154.nii.npy,0.97398764,0.026012305
155.nii.npy,0.94138604,0.05861398
177.nii.npy,0.9026792,0.09732075
207.nii.npy,0.9106824,0.089317575
244.nii.npy,0.9687507,0.031249307
161.nii.npy,0.6578305,0.34216955
399.nii.npy,0.967109,0.032890923
248.nii.npy,0.45126817,0.5487318
392.nii.npy,0.957325,0.04267505
266.nii.npy,0.8657569,0.1342431
163.nii.npy,0.83618927,0.1638107
304.nii.npy,0.9160406,0.08395936
078.nii.npy,0.9420267,0.057973295
265.nii.npy,0.78011155,0.2198885
261.nii.npy,0.95491606,0.045083925
069.nii.npy,0.95075995,0.049240027
301.nii.npy,0.8773289,0.1226711
281.nii.npy,0.96467674,0.035323232
326.nii.npy,0.408535,0.59146494
119.nii.npy,0.72143745,0.27856252
310.nii.npy,0.5299432,0.4700568
131.nii.npy,0.65147626,0.3485237
291.nii.npy,0.5895565,0.41044348
153.nii.npy,0.30989203,0.690108
009.nii.npy,0.78953975,0.21046025
229.nii.npy,0.82293504,0.17706493
257.nii.npy,0.700278,0.29972205
302.nii.npy,0.89049375,0.10950623
331.nii.npy,0.7787373,0.22126268
400.nii.npy,0.38050908,0.6194909
133.nii.npy,0.26378766,0.7362123
415.nii.npy,0.5480912,0.45190886
120.nii.npy,0.8987181,0.10128187
198.nii.npy,0.3173399,0.6826601
071.nii.npy,0.6501382,0.3498618
384.nii.npy,0.4795109,0.5204891
179.nii.npy,0.54006296,0.45993707
349.nii.npy,0.892102,0.10789803
391.nii.npy,0.8611387,0.13886131
036.nii.npy,0.34337297,0.656627
172.nii.npy,0.8909132,0.10908683
052.nii.npy,0.76725835,0.23274164
014.nii.npy,0.6379779,0.36202213
282.nii.npy,0.8351996,0.16480039
191.nii.npy,0.6186243,0.3813757
152.nii.npy,0.81233877,0.18766125
106.nii.npy,0.7432473,0.2567528
243.nii.npy,0.8074739,0.19252607
278.nii.npy,0.7186527,0.2813473
028.nii.npy,0.5798069,0.4201931
225.nii.npy,0.7517986,0.24820141
182.nii.npy,0.36234677,0.63765323
226.nii.npy,0.57364005,0.42635998
202.nii.npy,0.7735925,0.22640756
206.nii.npy,0.29798698,0.702013
260.nii.npy,0.75253046,0.24746959
380.nii.npy,0.6477339,0.35226604
107.nii.npy,0.59523225,0.40476772
111.nii.npy,0.33492327,0.6650768
044.nii.npy,0.46949196,0.5305081
294.nii.npy,0.8186163,0.18138379
346.nii.npy,0.27531773,0.7246823
160.nii.npy,0.14959434,0.85040563
330.nii.npy,0.69132817,0.3086718
073.nii.npy,0.36859828,0.6314017
267.nii.npy,0.801889,0.19811103
053.nii.npy,0.675562,0.324438
010.nii.npy,0.63220274,0.36779726
298.nii.npy,0.7210095,0.2789905
365.nii.npy,0.7304755,0.26952448
252.nii.npy,0.4171396,0.58286047
016.nii.npy,0.25058585,0.74941415
189.nii.npy,0.4425849,0.5574151
235.nii.npy,0.14253001,0.85747
368.nii.npy,0.7534501,0.24654992
418.nii.npy,0.3149945,0.68500555
099.nii.npy,0.80047053,0.19952941
386.nii.npy,0.61824995,0.38175002
242.nii.npy,0.58912563,0.41087437
309.nii.npy,0.8789925,0.121007495
360.nii.npy,0.6974894,0.30251062
091.nii.npy,0.46389863,0.5361014
185.nii.npy,0.8900549,0.10994513
030.nii.npy,0.7472686,0.25273138
295.nii.npy,0.83869314,0.16130681
378.nii.npy,0.43142185,0.5685781
041.nii.npy,0.47469833,0.52530164
162.nii.npy,0.71204585,0.28795418
376.nii.npy,0.8082082,0.19179177
292.nii.npy,0.9490104,0.05098969
050.nii.npy,0.7650384,0.23496166
098.nii.npy,0.636457,0.363543
101.nii.npy,0.52892417,0.4710758
148.nii.npy,0.8549992,0.14500085
180.nii.npy,0.87335145,0.12664858
230.nii.npy,0.23794894,0.7620511
407.nii.npy,0.8568013,0.1431987
250.nii.npy,0.82114106,0.17885895
333.nii.npy,0.8328793,0.16712065
290.nii.npy,0.42531696,0.574683
256.nii.npy,0.72950625,0.27049372
019.nii.npy,0.783007,0.21699294
374.nii.npy,0.7324808,0.26751915
060.nii.npy,0.91044766,0.08955228
236.nii.npy,0.86671996,0.13328005
059.nii.npy,0.6429442,0.35705575
129.nii.npy,0.7191137,0.2808863
403.nii.npy,0.7462978,0.25370222
055.nii.npy,0.91996276,0.08003722
174.nii.npy,0.5847634,0.41523653
117.nii.npy,0.6826201,0.3173799
103.nii.npy,0.78878003,0.2112199
135.nii.npy,0.20696269,0.79303735
363.nii.npy,0.9068048,0.09319523
082.nii.npy,0.65946877,0.34053117
352.nii.npy,0.7712278,0.22877225
027.nii.npy,0.4773295,0.5226705
