fpath,label-0,label-1
142.nii.npy,0.5248533,0.4751467
400.nii.npy,0.20248094,0.797519
403.nii.npy,0.5884509,0.4115491
137.nii.npy,0.85235035,0.14764968
357.nii.npy,0.5400353,0.45996466
380.nii.npy,0.8943118,0.1056882
073.nii.npy,0.5890583,0.41094172
329.nii.npy,0.9872607,0.012739267
386.nii.npy,0.8361801,0.16381988
358.nii.npy,0.8949122,0.10508778
138.nii.npy,0.8892586,0.11074139
378.nii.npy,0.1879046,0.81209546
201.nii.npy,0.083722,0.91627806
120.nii.npy,0.98236454,0.017635439
154.nii.npy,0.9834257,0.016574327
111.nii.npy,0.5949312,0.40506884
003.nii.npy,0.89868474,0.10131527
152.nii.npy,0.9313231,0.06867683
075.nii.npy,0.8774539,0.122546084
368.nii.npy,0.95222056,0.04777945
185.nii.npy,0.89639205,0.10360796
213.nii.npy,0.6099358,0.39006415
302.nii.npy,0.97610885,0.023891153
119.nii.npy,0.72109777,0.2789022
297.nii.npy,0.9582523,0.041747637
106.nii.npy,0.8418375,0.1581625
058.nii.npy,0.8310715,0.16892852
296.nii.npy,0.84389555,0.15610442
072.nii.npy,0.3682385,0.63176143
062.nii.npy,0.41550168,0.58449835
134.nii.npy,0.94569343,0.054306626
263.nii.npy,0.85646904,0.14353094
193.nii.npy,0.97388196,0.026118092
318.nii.npy,0.96182096,0.03817908
047.nii.npy,0.7017544,0.29824558
064.nii.npy,0.113795616,0.8862044
006.nii.npy,0.5318746,0.46812543
090.nii.npy,0.2790828,0.72091717
274.nii.npy,0.916749,0.08325101
084.nii.npy,0.76493084,0.2350692
160.nii.npy,0.08125043,0.9187496
293.nii.npy,0.9739783,0.026021704
343.nii.npy,0.96012145,0.039878584
103.nii.npy,0.85309243,0.14690757
353.nii.npy,0.9682362,0.031763714
155.nii.npy,0.9217841,0.07821584
014.nii.npy,0.4459289,0.5540711
091.nii.npy,0.54901373,0.45098624
198.nii.npy,0.20374803,0.79625195
310.nii.npy,0.40441796,0.595582
215.nii.npy,0.617171,0.38282895
361.nii.npy,0.25916687,0.7408331
406.nii.npy,0.87712294,0.12287708
048.nii.npy,0.9701259,0.02987413
309.nii.npy,0.98847675,0.011523222
298.nii.npy,0.8956262,0.10437382
207.nii.npy,0.7526173,0.24738266
104.nii.npy,0.77555144,0.22444858
375.nii.npy,0.6589745,0.34102547
079.nii.npy,0.98643005,0.013569946
365.nii.npy,0.9329715,0.06702855
327.nii.npy,0.6960251,0.303975
177.nii.npy,0.77870613,0.22129388
175.nii.npy,0.8487045,0.15129547
077.nii.npy,0.6488479,0.3511521
165.nii.npy,0.91585,0.08415001
163.nii.npy,0.49818295,0.50181705
212.nii.npy,0.8779891,0.122010924
276.nii.npy,0.9312067,0.068793245
049.nii.npy,0.88733804,0.112661935
381.nii.npy,0.9213474,0.07865263
392.nii.npy,0.9441941,0.055805914
260.nii.npy,0.93903625,0.06096371
370.nii.npy,0.93639034,0.06360968
004.nii.npy,0.8377871,0.16221288
041.nii.npy,0.4433175,0.5566825
290.nii.npy,0.25968155,0.7403185
054.nii.npy,0.95774305,0.042256985
350.nii.npy,0.9343866,0.06561343
205.nii.npy,0.9066185,0.09338149
319.nii.npy,0.9618159,0.038184103
