fpath,label-0,label-1
372.nii.npy,0.5515018,0.4484982
133.nii.npy,0.13774075,0.86225927
161.nii.npy,0.1560808,0.8439193
003.nii.npy,0.5825517,0.41744828
089.nii.npy,0.62156713,0.3784329
230.nii.npy,0.10445373,0.89554626
346.nii.npy,0.22501402,0.77498597
044.nii.npy,0.40493432,0.5950657
162.nii.npy,0.3886073,0.61139274
265.nii.npy,0.28287292,0.717127
264.nii.npy,0.53005284,0.4699472
327.nii.npy,0.50543344,0.49456653
238.nii.npy,0.36806908,0.6319309
017.nii.npy,0.7648988,0.23510128
245.nii.npy,0.55025744,0.44974256
124.nii.npy,0.48912916,0.5108708
337.nii.npy,0.4408421,0.5591579
185.nii.npy,0.67661214,0.32338786
065.nii.npy,0.5882831,0.4117169
191.nii.npy,0.39253256,0.6074675
205.nii.npy,0.5465099,0.45349008
389.nii.npy,0.49263513,0.50736487
046.nii.npy,0.26842245,0.7315776
079.nii.npy,0.85519075,0.14480923
058.nii.npy,0.56852293,0.4314771
129.nii.npy,0.4308302,0.5691698
099.nii.npy,0.73735094,0.26264906
262.nii.npy,0.33842015,0.6615799
276.nii.npy,0.7337963,0.2662037
019.nii.npy,0.47114924,0.52885073
059.nii.npy,0.35854176,0.6414583
011.nii.npy,0.7360046,0.26399544
296.nii.npy,0.823165,0.17683496
158.nii.npy,0.8068404,0.19315955
235.nii.npy,0.40464622,0.5953537
318.nii.npy,0.9417239,0.058276102
272.nii.npy,0.8758797,0.124120295
410.nii.npy,0.86633396,0.13366607
147.nii.npy,0.8636047,0.1363953
203.nii.npy,0.558728,0.44127205
182.nii.npy,0.6830248,0.31697518
324.nii.npy,0.6121214,0.3878786
248.nii.npy,0.31153384,0.68846613
111.nii.npy,0.67299163,0.32700837
307.nii.npy,0.9479826,0.05201745
054.nii.npy,0.9289944,0.07100552
331.nii.npy,0.8642682,0.13573174
050.nii.npy,0.8137425,0.18625748
120.nii.npy,0.9361961,0.06380394
101.nii.npy,0.63695073,0.36304927
266.nii.npy,0.7510897,0.24891038
236.nii.npy,0.90200347,0.09799652
064.nii.npy,0.41263548,0.58736455
282.nii.npy,0.9039409,0.09605906
250.nii.npy,0.8644523,0.13554771
225.nii.npy,0.91122186,0.088778116
319.nii.npy,0.9417239,0.058276102
277.nii.npy,0.93078625,0.06921375
150.nii.npy,0.7997265,0.20027354
376.nii.npy,0.84232074,0.15767929
304.nii.npy,0.8497499,0.15025006
025.nii.npy,0.90945035,0.09054968
103.nii.npy,0.82927114,0.17072892
326.nii.npy,0.6121214,0.3878786
027.nii.npy,0.49748507,0.5025149
256.nii.npy,0.6992958,0.30070418
023.nii.npy,0.68018913,0.3198109
075.nii.npy,0.83349425,0.16650572
180.nii.npy,0.85360426,0.14639579
295.nii.npy,0.8011597,0.19884035
108.nii.npy,0.6204902,0.37950984
148.nii.npy,0.839271,0.16072895
297.nii.npy,0.8698538,0.13014622
278.nii.npy,0.7477899,0.25221005
381.nii.npy,0.8130896,0.18691045
084.nii.npy,0.69332016,0.3066799
048.nii.npy,0.90216285,0.097837135
390.nii.npy,0.76697695,0.23302302
294.nii.npy,0.91147786,0.08852209
257.nii.npy,0.7509419,0.2490581
184.nii.npy,0.8158359,0.18416417
407.nii.npy,0.82652575,0.17347425
229.nii.npy,0.8338662,0.16613385
231.nii.npy,0.67784643,0.32215357
